treat	cont	meso
2.7932E+2	2.7919E+2	meso1
2.8012E+2	2.7924E+2	meso1
2.7936E+2	2.7935E+2	meso1
2.7981E+2	2.7929E+2	meso1
2.7924E+2	2.7975E+2	meso1
2.7918E+2	2.7953E+2	meso1
2.7979E+2	2.7889E+2	meso1
2.7903E+2	2.7978E+2	meso1
2.7986E+2	2.7948E+2	meso1
2.7955E+2	2.7915E+2	meso1
2.7983E+2	2.7924E+2	meso1
2.7966E+2	2.7957E+2	meso1
2.7982E+2	2.7965E+2	meso1
2.7945E+2	2.7925E+2	meso1
2.7940E+2	2.7939E+2	meso1
2.7928E+2	2.7900E+2	meso1
2.7885E+2	2.7982E+2	meso1
2.7976E+2	2.7985E+2	meso1
2.7991E+2	2.7919E+2	meso1
2.7895E+2	2.7943E+2	meso1
2.7951E+2	2.7900E+2	meso1
2.7938E+2	2.7945E+2	meso1
2.8033E+2	2.7963E+2	meso1
2.7945E+2	2.7961E+2	meso1
2.7950E+2	2.7941E+2	meso1
2.7963E+2	2.7986E+2	meso1
2.7924E+2	2.7936E+2	meso1
2.7929E+2	2.7954E+2	meso1
2.7943E+2	2.7969E+2	meso1
2.7938E+2	2.7910E+2	meso1
2.7887E+2	2.7976E+2	meso1
2.7945E+2	2.7927E+2	meso1
2.7936E+2	2.7936E+2	meso1
2.7951E+2	2.7966E+2	meso1
2.7923E+2	2.7930E+2	meso1
2.7962E+2	2.7933E+2	meso1
2.7861E+2	2.7951E+2	meso1
2.7953E+2	2.7974E+2	meso1
2.7839E+2	2.7971E+2	meso1
2.7901E+2	2.7958E+2	meso1
2.7988E+2	2.7918E+2	meso1
2.7944E+2	2.7948E+2	meso1
2.7999E+2	2.7925E+2	meso1
2.7991E+2	2.7876E+2	meso1
2.7960E+2	2.7949E+2	meso1
2.7906E+2	2.7922E+2	meso1
2.7934E+2	2.7930E+2	meso1
2.7948E+2	2.7935E+2	meso1
2.8000E+2	2.7896E+2	meso1
2.7879E+2	2.7934E+2	meso1
2.7881E+2	2.7900E+2	meso1
2.7933E+2	2.7923E+2	meso1
2.7905E+2	2.7930E+2	meso1
2.7923E+2	2.7883E+2	meso1
2.7906E+2	2.7920E+2	meso1
2.7948E+2	2.7870E+2	meso1
2.7885E+2	2.7896E+2	meso1
2.7913E+2	2.7857E+2	meso1
2.7908E+2	2.7913E+2	meso1
2.7937E+2	2.7892E+2	meso1
2.7932E+2	2.7909E+2	meso1
2.7922E+2	2.7912E+2	meso1
2.7912E+2	2.7895E+2	meso1
2.7911E+2	2.7944E+2	meso1
